t             ,x             ,y             ,z             
9758779643000 , -0.1866712304,  0.4308781519, -0.2124200588
9758800408000 , -0.3296885246,  0.6072201379, -0.3776142923
9758819566000 , -0.5067318907,  0.8141378626, -0.5616275325
9758839638000 , -0.7114988944,  1.0363133419, -0.7545051503
9758860105000 , -0.9343389071,  1.2536337897, -0.9480799024
9758879686000 , -1.1629545397,  1.4441225487, -1.1371921849
9758899596000 , -1.3834252378,  1.5875233879, -1.3199935105
9758919568000 , -1.5814782332,  1.6689673426, -1.4971735804
9758939610000 , -1.7438521667,  1.6818313705, -1.6703374973
9758959576000 , -1.8593810855,  1.6291715054, -1.8401092881
9758979623000 , -1.9204461894,  1.5238469146, -2.0039989397
9758999588000 , -1.9240268813,  1.3872556003, -2.1550669203
9759019575000 , -1.8723379603,  1.2465260043, -2.2814449720
9759039603000 , -1.7731319445,  1.1308895660, -2.3670240057
9759059590000 , -1.6398747778,  1.0678654996, -2.3940041182
9759079625000 , -1.4911187814,  1.0798563914, -2.3460643556
9759099586000 , -1.3491487624,  1.1814707992, -2.2116207680
9759119581000 , -1.2380772980,  1.3779345154, -1.9868071535
9759139601000 , -1.1815696200,  1.6647651934, -1.6775572459
9759159713000 , -1.2002293827,  2.0286818340, -1.3002613938
9759179618000 , -1.3089668994,  2.4494681555, -0.8806897445
9759199590000 , -1.5147962377,  2.9025337998, -0.4511890017
9759219581000 , -1.8154575110,  3.3618569760, -0.0466565583
9759239605000 , -2.1990848987,  3.8028934602,  0.3001985257
9759259588000 , -2.6451012731,  4.2052381099,  0.5633820515
9759279613000 , -3.1262677717,  4.5547122812,  0.7271804345
9759299586000 , -3.6116982590,  4.8446890905,  0.7881810835
9759319576000 , -4.0704272480,  5.0765808744,  0.7552990682
9759339610000 , -4.4749134890,  5.2593839564,  0.6478740792
9759359590000 , -4.8038502964,  5.4081195231,  0.4920115735
9759379616000 , -5.0437036382,  5.5413303263,  0.3157488562
9759399591000 , -5.1891387800,  5.6780983830,  0.1439809216
9759419595000 , -5.2420050589,  5.8344148649, -0.0059094689
9759439610000 , -5.2095297163,  6.0194976037, -0.1275663190
9759459581000 , -5.1009418282,  6.2329279271, -0.2271475049
9759479616000 , -4.9247888413,  6.4638178767, -0.3213274210
9759499586000 , -4.6870013778,  6.6909049610, -0.4342032246
9759519561000 , -4.3900096212,  6.8843760148, -0.5927342843
9759539603000 , -4.0340514631,  7.0098581556, -0.8211085573
9759559586000 , -3.6186215590,  7.0340622470, -1.1352804291
9759579620000 , -3.1452663224,  6.9307724767, -1.5384333491
