t             ,x             ,y             ,z             
10883068858000,  0.6556623108, -0.6753373800, -0.1060371499
10883088854000,  0.7620687887, -0.7815207139, -0.4757978498
10883109238000,  0.8008542189, -0.8138112294, -0.9558859479
10883128813000,  0.7618261791, -0.7660667847, -1.5121641435
10883148833000,  0.6484683829, -0.6421895759, -2.0977326137
10883168793000,  0.4781265782, -0.4547406259, -2.6587438331
10883188819000,  0.2790954796, -0.2223442539, -3.1412048036
10883209993000,  0.0853367341,  0.0335947651, -3.4974254598
10883228834000, -0.0698287423,  0.2919719801, -3.6916266536
10883248834000, -0.1608835487,  0.5348133504, -3.7030865704
10883268841000, -0.1758160873,  0.7487194367, -3.5266600783
10883288838000, -0.1190747538,  0.9248877101, -3.1711856542
10883308878000, -0.0111001577,  1.0584913305, -2.6568220758
10883328836000,  0.1146038417,  1.1478045902, -2.0117502915
10883349201000,  0.2180934082,  1.1930512256, -1.2685996968
10883368896000,  0.2608557702,  1.1947333763, -0.4623261579
10883388793000,  0.2137391612,  1.1530558923,  0.3713994320
10883408786000,  0.0629016121,  1.0684503021,  1.1956870243
10883428773000, -0.1866490259,  0.9420863825,  1.9713179100
10883448761000, -0.5114393946,  0.7765703333,  2.6564334319
10883468786000, -0.8732668219,  0.5765459314,  3.2075570846
10883488948000, -1.2256211447,  0.3491696402,  3.5817588918
10883508786000, -1.5218253025,  0.1039221845,  3.7404235861
10883528768000, -1.7226870548, -0.1479375019,  3.6549447696
10883548763000, -1.8027576834, -0.3944604177,  3.3126334662
10883568789000, -1.7540144709, -0.6240024253,  2.7217334720
10883588941000, -1.5863163462, -0.8262113861,  1.9143577452
10883608788000, -1.3247178846, -0.9927068628,  0.9463571653
10883628766000, -1.0044837705, -1.1174013325, -0.1068036503
10883648763000, -0.6647053217, -1.1960159624, -1.1577874635
10883668789000, -0.3419011217, -1.2266512549, -2.1171674954
10883688946000, -0.0655621813, -1.2094963455, -2.9038575523
10883708786000,  0.1448043667, -1.1472890455, -3.4555397657
10883728768000,  0.2803000348, -1.0458937399, -3.7357460077
10883749123000,  0.3410506548, -0.9152995677, -3.7370939830
10883768776000,  0.3334402516, -0.7699791070, -3.4799182228
10883788779000,  0.2671490451, -0.6289602942, -3.0067431732
10883808786000,  0.1524234610, -0.5149682413, -2.3738147471
10883828768000, -0.0011957450, -0.4523740415, -1.6415756294
10883848761000, -0.1847194411, -0.4641310158, -0.8657273771
10883868789000, -0.3887458258, -0.5675234565, -0.0911967042
10883888936000, -0.6018631396, -0.7699935167,  0.6503531966
10883908789000, -0.8081364057, -1.0657884992,  1.3385690889
10883928768000, -0.9871252608, -1.4349312541,  1.9598638238
10883948758000, -1.1149530410, -1.8437854783,  2.5011071514
10883968789000, -1.1674850797, -2.2480771957,  2.9441210403
10883988943000, -1.1242698857, -2.5983667645,  3.2624956801
10884008793000, -0.9730912792, -2.8476502661,  3.4216952325
10884028774000, -0.7137628087, -2.9585756193,  3.3834320900
10884048766000, -0.3606998007, -2.9096470553,  3.1145861901
10884068769000,  0.0574436582, -2.6991556703,  2.5970767553
10884088943000,  0.5008320775, -2.3459669791,  1.8370181306
10884108786000,  0.9235963331, -1.8864544901,  0.8710577115
10884128806000,  1.2806925116, -1.3683070764, -0.2324369991
10884148799000,  1.5350434125, -0.8422869716, -1.3784326331
10884168784000,  1.6634716192, -0.3537009840, -2.4561864220
10884188781000,  1.6600764507,  0.0650361169, -3.3546099067
10884208788000,  1.5365426705,  0.3987828338, -3.9792196808
10884228756000,  1.3196280778,  0.6504992305, -4.2670705279
