t             ,x             ,y             ,z             
14987398841000,  0.1433362802,  0.2266452035, -0.1880276838
14987418856000,  0.1678472664,  0.1821074639, -0.1167475238
14987440089000,  0.1384737680,  0.0784120387, -0.0159813240
14987458819000,  0.0602484850, -0.0668143970,  0.0922755552
14987478874000, -0.0488580880, -0.2249165369,  0.1838868129
14987500474000, -0.1620891173, -0.3622327994,  0.2382344777
14987520734000, -0.2504643874, -0.4475498076,  0.2429612070
14987539251000, -0.2901522598, -0.4593784232,  0.1965552066
14987558888000, -0.2687837391, -0.3912565383,  0.1081625806
14987578878000, -0.1890351495, -0.2538059560, -0.0052405656
14987598868000, -0.0683643044, -0.0728605388, -0.1236911388
14987618859000,  0.0651898146,  0.1159672472, -0.2298511072
14987639139000,  0.1801604448,  0.2752914520, -0.3137787030
14987658824000,  0.2501007768,  0.3747516022, -0.3755003970
14987678874000,  0.2611545234,  0.3986823140, -0.4246301381
14987698964000,  0.2166228416,  0.3507355169, -0.4771812512
14987718833000,  0.1370676543,  0.2543639056, -0.5505101943
14987738879000,  0.0556249371,  0.1489509029, -0.6578643528
14987758901000,  0.0095294764,  0.0822141700, -0.8042842842
14987778886000,  0.0297919618,  0.1004930563, -0.9854566074
14987798893000,  0.1317662579,  0.2388845302, -1.1902777298
14987820649000,  0.3093418481,  0.5134597952, -1.4068871201
14987838789000,  0.5347825612,  0.9172262393, -1.6307341073
14987858874000,  0.7650222585,  1.4208471929, -1.8723654232
14987878816000,  0.9535504591,  1.9780578580, -2.1621055977
14987898834000,  1.0654790921,  2.5347668099, -2.5493882312
14987918801000,  1.0922739526,  3.0399355123, -3.0952381468
14987938784000,  1.0621587754,  3.4559522499, -3.8582003952
14987958823000,  1.0427345307,  3.7665134689, -4.8757052766
14987978808000,  1.1337915167,  3.9803642624, -6.1445481064
14987998833000,  1.4504932865,  4.1300818437, -7.6052611208
14988018808000,  2.0990278489,  4.2661192347, -9.1351295929
14988038789000,  3.1491026512,  4.4473965082,-10.5533249403
14988058819000,  4.6087511518,  4.7304281700,-11.6396605456
14988078806000,  6.4072764215,  5.1589142305,-12.1658423897
14988098826000,  8.3909000967,  5.7556660214,-11.9350436676
14988118824000, 10.3337478132,  6.5181470681,-10.8231237849
14988138784000, 11.9640537082,  7.4180373003, -8.8137487336
14988158844000, 13.0021084624,  8.4049419752, -6.0196329694
14988178803000, 13.2041783126,  9.4129712325, -2.6835052141
14988198834000, 12.4051248322, 10.3687343069,  0.8439100227
14988219204000, 10.5520286091, 11.1993318773,  4.1470519602
