t             ,x             ,y             ,z             
764376196000  ,  5.1778762181,  0.1388368521, -3.7724414513
764396121000  ,  5.7379889899,  0.4239117718, -4.1299876474
764416189000  ,  5.8710298503,  0.5951077830, -4.1873885784
764436159000  ,  5.5769402775,  0.6168297730, -3.9205137504
764456136000  ,  4.9202844673,  0.4957595301, -3.3472339647
764476138000  ,  4.0163788285,  0.2827927867, -2.5266988031
764496166000  ,  3.0080641116,  0.0639117960, -1.5524974155
764516309000  ,  2.0381468350, -0.0586936693, -0.5404543350
764536158000  ,  1.2227798833,  0.0087069885,  0.3871519919
764556148000  ,  0.6313559171,  0.3266322068,  1.1185674662
764576133000  ,  0.2769575762,  0.9033774892,  1.5683910583
764596178000  ,  0.1187036651,  1.6865194654,  1.6899292886
764616146000  ,  0.0751004309,  2.5677465596,  1.4823050327
764636154000  ,  0.0454016853,  3.4011239444,  0.9914144058
764656148000  , -0.0660405110,  4.0313633055,  0.3045163734
764676131000  , -0.3275686633,  4.3264044816, -0.4608361598
764696158000  , -0.7647618125,  4.2073464270, -1.1718703727
764716309000  , -1.3548554941,  3.6687926799, -1.6978673470
764736158000  , -2.0319770531,  2.7847301639, -1.9273633200
764756144000  , -2.7017393233,  1.6978278130, -1.7831222947
764776134000  , -3.2616090652,  0.5938495332, -1.2330205068
764796161000  , -3.6226440423, -0.3337083851, -0.2955651330
764816296000  , -3.7277300535, -0.9224577694,  0.9607154279
764836156000  , -3.5626468381, -1.0745141686,  2.4238545857
764856144000  , -3.1577408267, -0.7771634687,  3.9502427950
764876129000  , -2.5802040156, -0.1061534238,  5.3801368567
764896158000  , -1.9191313711,  0.7892931145,  6.5551585555
764916303000  , -1.2666555670,  1.7169345762,  7.3358280799
764936158000  , -0.6996197904,  2.4809835002,  7.6171476177
764956141000  , -0.2652881612,  2.9224547884,  7.3402085205
764976123000  ,  0.0250290842,  2.9520597236,  6.4986938698
764996171000  ,  0.1940661042,  2.5684521861,  5.1394784401
765016304000  ,  0.2891488468,  1.8576975812,  3.3573240140
765036154000  ,  0.3670785123,  0.9741228891,  1.2845680556
765056141000  ,  0.4769013705,  0.1066737479, -0.9229692398
765076126000  ,  0.6447022642, -0.5620048914, -3.1019141323
765096161000  ,  0.8636297880, -0.8950406272, -5.0973070831
765116301000  ,  1.0913484869, -0.8310433016, -6.7766267901
765136161000  ,  1.2555833679, -0.3975749970, -8.0403467035
765156143000  ,  1.2666940832,  0.2944344604, -8.8280360405
765176126000  ,  1.0350362717,  1.0740328688, -9.1197560839
765196159000  ,  0.4897078563,  1.7464600638, -8.9333310199
765216269000  , -0.4049473813,  2.1343452182, -8.3184252005
765236159000  , -1.6382900542,  2.1152039706, -7.3486027219
765256148000  , -3.1490500328,  1.6476624853, -6.1126576950
765276129000  , -4.8289752604,  0.7807507555, -4.7063386813
765296163000  , -6.5337825405, -0.3551420882, -3.2254643981
765316301000  , -8.0994435631, -1.5732965737, -1.7606948496
765336159000  , -9.3611035539, -2.6660455684, -0.3943321072
765356146000  ,-10.1727237092, -3.4437574921,  0.8015663894
765376123000  ,-10.4250684503, -3.7694427812,  1.7669056530
765396156000  ,-10.0574490491, -3.5820466085,  2.4559474143
