t             ,x             ,y             ,z             
15253813362000, -0.1363794792,  0.0438562045, -0.0828728453
15253833356000, -0.2003989564,  0.1133090838, -0.1039728659
15253853342000, -0.2466282257,  0.1885162527, -0.1202365148
15253884876000, -0.2640984199,  0.2511542318, -0.1277112408
15253893336000, -0.2457244033,  0.2833176651, -0.1234778069
15253913314000, -0.1898836176,  0.2718274126, -0.1065643682
15253933362000, -0.1008846027,  0.2118180900, -0.0785197914
15253953359000,  0.0117730354,  0.1084038423, -0.0434786729
15253973517000,  0.1351686301, -0.0239595929, -0.0076162581
15253993327000,  0.2556632639, -0.1640540655,  0.0219204189
15254013301000,  0.3616720725, -0.2884152928,  0.0383341527
15254033381000,  0.4458897112, -0.3768689983,  0.0367407336
15254053351000,  0.5065680663, -0.4172174220,  0.0154529548
15254073389000,  0.5475849548, -0.4081584502, -0.0234525153
15254093302000,  0.5768868026, -0.3596730494, -0.0741371572
15254113461000,  0.6044051047, -0.2910295621, -0.1279463401
15254133756000,  0.6391652265, -0.2262225928, -0.1751223004
15254153457000,  0.6858901292, -0.1876914400, -0.2066908566
15254173432000,  0.7431064992, -0.1904268279, -0.2162970608
15254193297000,  0.8026511841, -0.2377267496, -0.2017792634
15254213711000,  0.8508204804, -0.3193651131, -0.1659789668
15254233317000,  0.8710705430, -0.4127716648, -0.1166543643
15254253467000,  0.8479034697, -0.4874142565, -0.0657288400
15254273309000,  0.7709781069, -0.5112423157, -0.0276455510
15254293357000,  0.6385602591, -0.4576854847, -0.0172839745
15254313726000,  0.4595865893, -0.3119122486, -0.0478643166
15254333314000,  0.2536204619, -0.0747499241, -0.1291315282
15254353462000,  0.0485216383,  0.2367555783, -0.2660978140
15254373317000, -0.1238678320,  0.5922731926, -0.4585241435
15254393526000, -0.2332285399,  0.9540536443, -0.7010579371
15254413284000, -0.2565068795,  1.2844233333, -0.9838558095
15254433316000, -0.1828656726,  1.5532472513, -1.2935577808
15254453452000, -0.0164564939,  1.7437767747, -1.6143438249
15254473309000,  0.2233733239,  1.8552042230, -1.9292090069
15254493684000,  0.5043253748,  1.9025696120, -2.2212761988
15254513759000,  0.7864209024,  1.9123383222, -2.4742152720
