t             ,x             ,y             ,z             
257911931000  ,  0.8760547517, -0.4426010738,  1.0519780209
257931608000  ,  1.0856933055, -0.6195333517,  0.9509837858
257951299000  ,  1.2607200866, -0.8316022393,  0.7871909722
257971636000  ,  1.3716126164, -1.0612897455,  0.5834814660
257991689000  ,  1.3901971177, -1.2833939612,  0.3588953032
258010954000  ,  1.2947743175, -1.4688987927,  0.1232614416
258030976000  ,  1.0751303898, -1.5901746516, -0.1252389113
258050949000  ,  0.7363473092, -1.6263040959, -0.3986855361
258070864000  ,  0.3002643910, -1.5670808889, -0.7143026971
258091629000  , -0.1953872780, -1.4152753702, -1.0868450078
258110933000  , -0.7009341454, -1.1866129822, -1.5202474224
258130913000  , -1.1612267716, -0.9069054905, -2.0009459369
258152156000  , -1.5235461803, -0.6071364402, -2.4947313051
258171054000  , -1.7455468604, -0.3176659631, -2.9484414473
258191999000  , -1.8018099560, -0.0627944595, -3.2968711302
258210928000  , -1.6877245621,  0.1430661046, -3.4737386003
258230909000  , -1.4199725442,  0.2967307119, -3.4246256798
258252078000  , -1.0334342663,  0.4048084411, -3.1191615550
258271086000  , -0.5750231600,  0.4797621932, -2.5597781371
258292003000  , -0.0958829026,  0.5347182737, -1.7846329464
258310928000  ,  0.3568992618,  0.5779759900, -0.8646164575
258330909000  ,  0.7478753561,  0.6096509093,  0.1069168004
258352049000  ,  1.0564413585,  0.6201586507,  1.0289539403
258371086000  ,  1.2771786340,  0.5913132167,  1.8096923807
258392046000  ,  1.4169106846,  0.5005891819,  2.3819099865
258410921000  ,  1.4898860099,  0.3269542290,  2.7132891815
258430911000  ,  1.5120827671,  0.0573548438,  2.8094946898
258452084000  ,  1.4945006902, -0.3073288922,  2.7099167990
258471098000  ,  1.4406397768, -0.7496225922,  2.4773932343
258491356000  ,  1.3456690525, -1.2363974731,  2.1833521513
258511858000  ,  1.1994251800, -1.7234683975,  1.8917908452
258530908000  ,  0.9910143486, -2.1626639405,  1.6458837453
258551998000  ,  0.7146839549, -2.5102792930,  1.4600153437
258571084000  ,  0.3751056056, -2.7347334513,  1.3190950173
258591984000  , -0.0098866788, -2.8221558257,  1.1849077502
258610933000  , -0.4094331232, -2.7784433973,  1.0082960522
258630911000  , -0.7835112706, -2.6271231487,  0.7441781360
258652048000  , -1.0897271387, -2.4034913605,  0.3656203623
258671128000  , -1.2917150600, -2.1464283883, -0.1263840050
258692101000  , -1.3673767784, -1.8898158461, -0.7000670759
258710964000  , -1.3144978409, -1.6556130457, -1.2976606534
258730954000  , -1.1522289760, -1.4501157242, -1.8468130452
258750953000  , -0.9180265170, -1.2643464667, -2.2760863680
258770969000  , -0.6603586725, -1.0784195098, -2.5310119920
258791673000  , -0.4287021409, -0.8687053683, -2.5867581338
258810986000  , -0.2628494619, -0.6160942188, -2.4545338245
258830909000  , -0.1839251793, -0.3130065710, -2.1797763394
258850894000  , -0.1894524958,  0.0327067014, -1.8325023125
258870958000  , -0.2539479127,  0.3981269812, -1.4919042100
258891611000  , -0.3349807859,  0.7498443551, -1.2290044988
258912308000  , -0.3835440332,  1.0519384508, -1.0913243107
258931063000  , -0.3564559811,  1.2752964173, -1.0934474800
258950904000  , -0.2278300965,  1.4057531408, -1.2159580740
258970933000  ,  0.0033841806,  1.4487029208, -1.4133951591
258991629000  ,  0.3119622568,  1.4285058710, -1.6295756512
259012006000  ,  0.6518541873,  1.3821913486, -1.8164255625
259031109000  ,  0.9677128714,  1.3488244331, -1.9517215999
259050929000  ,  1.2102032191,  1.3568309550, -2.0509050397
